Vessel;code;Genus;lat;lon;season;depth;swept_area_km2;N;N_km2;presence_absence;date;date_time;bathy;substrate;slope;roughness;fishingEffort;distCanyons;distMounts;distFans;bottom_temp;bottom_oxygen;bottom_nppv;bottom_ph;bottom_nh4;bottom_no3;bottom_po4;bottom_so;bottom_uo;bottom_vo;bottom_eke;SD_bottomT;SD_o2;SubAll;bioSubsFinal;ln_slope;ln_fishingEffort;Haul_N;RN;id;fold;ln_N_km2;ln_N;BioSubs;SA_offset
ESP000022870;20201028_64600_ESP000022870_01;Raja;41,96270952;3,54937619;4;562,1;0,20236925;0;0;0;28/10/2020;NA;641,6508642;1;2,545229793;80;226,4291016;11,55141926;298,4230347;65,47185516;13,2946806;222,7447052;-7,65E-05;8,089033127;0,011279293;4,865697861;0,244745374;38,55047607;-0,000376533;-0,005504682;1,52E-05;0,074750237;1,162203074;10;1;1,26560298;5,426838548;51;69;51;1;0;0;1;NA
ESP000022870;20210420_64600_ESP000022870_01;Raja;41,96618095;3,552207143;2;566,6;0,2232934;0;0;0;20/04/2020;NA;641,6508642;1;2,545229793;66;226,4291016;11,55141926;298,4230347;65,47185516;13,60880756;223,1227722;-0,000802636;8,083950043;0,040106967;4,791718483;0,241945818;38,635746;0,0005533;0,00220369;2,58E-06;0,074750237;1,162203074;10;1;1,26560298;5,426838548;103;40;103;3;0;0;1;NA
VG;22_01_21_CRT_VG_L1;Raja;37,5067071;-1,1321111;1;257,25;0,124706272;0;0;0;21/01/2020;NA;544,4700494;1;7,556412139;248;258,2121785;9,248887062;99,01480103;228,2984009;13,83422661;219,173996;-0,000173188;8,0888834;0,215163887;4,630954266;0,250598401;38,39120102;0;-0,001970175;1,94E-06;0,092667006;3,362632036;7;1;2,14668096;5,557646948;192;19;192;1;0;0;1;-2,081794131
ESP000000782;20200618_64100_ESP000000782_01;Raja;41,0152375;1,818466667;2;603,3;0,2431252;0;0;0;18/06/2020;NA;573,7183654;1;3,67170447;61;263,152488;4,62724638;412,0633545;34,84710312;13,43086243;220,8725433;-8,31E-06;8,081056595;0,008825151;5,062734127;0,254168749;38,59590149;0,006456532;0,008863348;6,01E-05;0,061191682;1,163002372;6;1;1,541523988;5,576526542;10;84;10;1;0;0;1;NA
ESP000000782;20200916_64100_ESP000000782_01;Raja;41,00935208;1,780114583;3;564,8;0,1726574;0;0;0;16/09/2020;NA;493,9847309;1;2,759488623;76;263,152488;3,504528522;410,692749;34,84710312;13,50420666;221,5993042;-7,67E-06;8,083661079;0,014243856;4,970205784;0,249910384;38,61206436;0,005285115;0,00780514;4,44E-05;0,076544903;1,943031549;6;1;1,324282944;5,576526542;43;12;43;3;0;0;1;NA
ESP000000782;20201215_64100_ESP000000782_01;Raja;41,02008958;1,817875;4;552,6;0,4077186;0;0;0;15/12/2020;NA;573,7183654;1;3,67170447;60;263,152488;4,62724638;412,0633545;34,84710312;13,3612051;221,5322876;-5,26E-07;8,083236694;0,017714202;4,959506989;0,249555543;38,58350754;-0,004617915;-0,017054949;0,000156098;0,061191682;1,163002372;6;1;1,541523988;5,576526542;67;18;67;1;0;0;1;-0,897178048
ESP000000782;20201215_64100_ESP000000782_02;Raja;41,04369444;1,818694444;4;207,4;0,1804713;0;0;0;15/12/2020;NA;573,7183654;1;3,67170447;62;263,152488;3,502319098;416,318512;34,84710312;13,44619465;222,4058228;-1,30E-08;8,086756706;0,032494344;4,825754166;0,24408102;38,5873909;-0,000816654;-0,006131335;1,91E-05;0,087485038;1,916760921;6;1;1,541523988;5,576526542;68;13;68;5;0;0;1;-1,712183517
ESP000000782;20210316_64100_ESP000000782_01;Raja;41,00954375;1,78115;1;568,8;0,17883751;0;0;0;16/03/2020;NA;493,9847309;1;2,759488623;76;263,152488;3,504528522;410,692749;34,84710312;13,52104187;224,1012878;-0,004841723;8,086696625;0,063727222;4,512768745;0,22975947;38,57024384;0,046358731;0,006507683;0,001095741;0,076544903;1,943031549;6;1;1,324282944;5,576526542;91;77;91;2;0;0;1;NA
ESP000000782;20210316_64100_ESP000000782_02;Raja;41,04231667;1,814880952;1;378,3;0,24100395;0;0;0;16/03/2020;NA;573,7183654;1;3,67170447;64;263,152488;3,502319098;416,318512;34,84710312;13,53086281;223,4768524;-0,002777255;8,087255478;0,055191197;4,558260441;0,232084587;38,57034683;-0,007515642;0,007731578;5,81E-05;0,087485038;1,916760921;6;1;1,541523988;5,576526542;92;71;92;2;0;0;1;-1,422941956
ESP000000782;20210630_64100_ESP000000782_02;Raja;41,04121667;1,817422917;2;382,2;0,27274319;6;21,99871608;1;30/06/2020;NA;573,7183654;1;3,67170447;67;263,152488;4,62724638;412,0633545;34,84710312;13,35934353;222,8591766;-4,18E-05;8,08464241;0,030412808;4,736868382;0,239157945;38,58354187;0,000629132;-0,010729475;5,78E-05;0,061191682;1,163002372;6;1;1,541523988;5,576526542;125;91;125;4;3,135438392;1,945910149;1;-1,299224623
